rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
63,380.0,0.3587719298245614,0.49122807017543857,0.5491228070175438,0.49122807017543857,0.5491228070175438,0.0,136.33333333333334,186.66666666666666,208.66666666666663,186.66666666666666,208.66666666666663,0.0,3,16.672040131387803,5.620498758798481,5.600219300581566,1610.2782177771871,True,1f9aa1fe
64,435.0,0.44329501915708813,0.47126436781609193,0.5091954022988505,0.47126436781609193,0.5091954022988505,0.0,192.83333333333334,205.0,221.49999999999997,205.0,221.49999999999997,0.0,6,16.56322416148305,5.877857716418584,5.830085121486962,1534.0045560387125,True,43052ff1
65,435.0,0.22988505747126436,0.5862068965517241,0.41379310344827586,0.5862068965517241,0.41379310344827586,0.0,100.0,254.99999999999997,180.0,254.99999999999997,180.0,0.0,4,16.54906780178112,5.743893922049906,5.672658599439943,1642.567796010611,True,d67a9e7e
66,435.0,0.3365900383141763,0.47126436781609193,0.6045977011494252,0.47126436781609193,0.6045977011494252,0.0,146.41666666666669,205.0,263.0,205.0,263.0,0.0,6,16.494268004910055,5.805588134015601,5.7463588030040516,1530.6538448464999,True,b5419483
67,380.0,0.3587719298245614,0.5087719298245614,0.5491228070175438,0.5087719298245614,0.5491228070175438,0.0,136.33333333333334,193.33333333333334,208.66666666666663,193.33333333333334,208.66666666666663,0.0,3,16.263138828509682,5.6594322487452455,5.7229309423455055,1628.3517644110589,True,3d75d2d5
68,380.0,0.4543859649122807,0.5087719298245614,0.47368421052631576,0.5087719298245614,0.47368421052631576,0.0,172.66666666666669,193.33333333333334,180.0,193.33333333333334,180.0,0.0,4,15.995619889815316,6.022013761118551,5.94963862151887,1634.5270538049058,True,ba758f58
69,380.0,0.4543859649122807,0.49122807017543857,0.47368421052631576,0.49122807017543857,0.47368421052631576,0.0,172.66666666666669,186.66666666666666,180.0,186.66666666666666,180.0,0.0,4,15.856906870851162,6.038208643793647,5.965483682762459,1629.3399916449644,True,2e8e7609
70,380.0,0.2631578947368421,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.0,100.0,200.0,180.0,200.0,180.0,0.0,3,15.816177758478716,5.640236569802804,5.601099446574453,1517.6549508061773,True,1b788a70
71,435.0,0.55,0.47126436781609193,0.5091954022988505,0.47126436781609193,0.5091954022988505,0.0,239.25000000000003,205.0,221.49999999999997,205.0,221.49999999999997,0.0,6,15.781653860852657,5.501613864574097,5.472509810035321,1618.1917085822224,True,726b7cc6
72,380.0,0.2631578947368421,0.49122807017543857,0.47368421052631576,0.49122807017543857,0.47368421052631576,0.0,100.0,186.66666666666666,180.0,186.66666666666666,180.0,0.0,3,15.550209105868362,5.652525440939381,5.606076358552328,1517.3086247289195,True,b9c4520e
73,380.0,0.4543859649122807,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,172.66666666666669,180.0,180.0,180.0,180.0,0.0,4,15.401724196258783,6.048017912659266,5.975074646504323,1626.189828778988,True,10d5766d
74,435.0,0.22988505747126436,0.47126436781609193,0.7,0.47126436781609193,0.7,0.0,100.0,205.0,304.5,205.0,304.5,0.0,6,15.387993676906945,5.794753043202503,5.747335532880162,1513.2866359116315,True,85c675f3
75,435.0,0.55,0.5862068965517241,0.5091954022988505,0.5862068965517241,0.5091954022988505,0.0,239.25000000000003,254.99999999999997,221.49999999999997,254.99999999999997,221.49999999999997,0.0,6,15.36239034094524,5.323895232162957,5.311225467271776,1655.4915370930667,True,e7249c9b
