rank,a_nm,h_spine_nm,spine_full_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,wl_lo_nm,wl_hi_nm,wl_center_nm
108,380.0,209.0,418.0,177.7,218.1,209.0,256.6,28.5,6,43.84,5.71,1495.1,1536.6,1515.8
109,380.0,209.0,418.0,193.3,268.3,193.3,206.4,28.5,6,43.77,5.72,1493.7,1535.0,1514.4
110,380.0,209.0,418.0,218.6,253.9,168.1,220.8,28.5,6,43.63,5.58,1490.5,1532.8,1511.7
111,380.0,209.0,418.0,186.7,253.9,186.7,220.8,28.5,6,43.41,5.64,1486.4,1527.9,1507.2
112,380.0,209.0,418.0,177.7,268.3,209.0,206.4,28.5,6,43.38,5.71,1492.9,1534.2,1513.6
113,380.0,209.0,418.0,200.0,195.5,200.0,279.2,28.5,6,43.35,5.84,1504.4,1545.4,1524.9
114,380.0,209.0,418.0,192.6,237.3,167.4,237.3,28.5,6,43.33,5.52,1476.9,1518.9,1497.9
115,380.0,209.0,418.0,214.0,253.9,186.0,220.8,28.5,6,43.33,5.75,1498.6,1539.9,1519.2
116,380.0,209.0,418.0,214.0,218.1,186.0,256.6,28.5,6,43.32,5.82,1499.3,1540.1,1519.7
117,380.0,209.0,418.0,206.8,253.9,179.8,220.8,28.5,6,43.22,5.7,1493.9,1535.4,1514.6
118,380.0,209.0,418.0,180.0,218.1,180.0,256.6,28.5,6,43.21,5.61,1482.1,1523.6,1502.8
119,380.0,209.0,418.0,165.4,237.3,194.6,237.3,28.5,6,43.15,5.53,1477.2,1519.2,1498.2
120,380.0,209.0,418.0,171.5,218.1,201.8,256.6,28.5,6,43.14,5.66,1488.6,1530.1,1509.3
121,380.0,209.0,418.0,218.6,218.1,168.1,256.6,28.5,6,43.1,5.65,1489.5,1531.1,1510.3
122,380.0,209.0,418.0,186.7,237.3,186.7,237.3,28.5,6,43.06,5.67,1485.9,1527.2,1506.6
123,380.0,209.0,418.0,206.8,218.1,179.8,256.6,28.5,6,43.03,5.77,1494.3,1535.2,1514.8
124,380.0,209.0,418.0,199.7,268.3,173.6,206.4,28.5,6,42.97,5.68,1490.6,1532.1,1511.4
125,380.0,209.0,418.0,199.7,195.5,173.6,279.2,28.5,6,42.96,5.68,1490.2,1531.6,1510.9
126,380.0,209.0,418.0,165.4,253.9,194.6,220.8,28.5,6,42.94,5.52,1476.8,1518.9,1497.9
127,380.0,209.0,418.0,193.3,266.0,193.3,266.0,0.0,6,42.78,6.25,1512.7,1554.8,1533.8
128,380.0,209.0,418.0,218.6,237.3,168.1,237.3,28.5,6,42.71,5.63,1488.8,1530.6,1509.7
129,380.0,209.0,418.0,171.5,268.3,201.8,206.4,28.5,6,42.64,5.65,1486.1,1527.5,1506.8
130,380.0,209.0,418.0,214.0,237.3,186.0,237.3,28.5,6,42.54,5.8,1497.7,1538.6,1518.1
131,380.0,209.0,418.0,193.3,218.1,193.3,256.6,28.5,6,42.53,5.79,1494.0,1534.8,1514.4
132,380.0,209.0,418.0,183.8,237.3,216.2,237.3,28.5,6,42.46,5.81,1498.0,1538.9,1518.5
133,380.0,209.0,418.0,183.8,253.9,216.2,220.8,28.5,6,42.44,5.79,1497.9,1538.9,1518.4
134,380.0,209.0,418.0,206.8,237.3,179.8,237.3,28.5,6,42.34,5.75,1492.8,1533.9,1513.3
135,380.0,209.0,418.0,180.0,253.9,180.0,220.8,28.5,6,42.26,5.61,1480.4,1522.0,1501.2
136,380.0,209.0,418.0,180.0,237.3,180.0,237.3,28.5,6,41.91,5.63,1479.9,1521.2,1500.6
137,380.0,209.0,418.0,177.7,237.3,209.0,237.3,28.5,6,41.88,5.76,1492.2,1533.2,1512.7
138,380.0,209.0,418.0,177.7,253.9,209.0,220.8,28.5,6,41.77,5.75,1492.0,1533.1,1512.5
139,380.0,172.7,345.3,165.4,219.1,194.6,312.9,57.0,6,41.69,5.79,1475.4,1515.2,1495.3
140,380.0,209.0,418.0,193.3,253.9,193.3,220.8,28.5,6,41.61,5.77,1492.4,1533.2,1512.8
141,380.0,172.7,345.3,165.4,300.7,194.6,231.3,85.5,5,41.55,5.64,1519.0,1559.4,1539.2
142,380.0,209.0,418.0,200.0,268.3,200.0,206.4,28.5,6,41.46,5.91,1502.4,1542.8,1522.6
143,380.0,209.0,418.0,193.3,237.3,193.3,237.3,28.5,6,41.26,5.81,1491.9,1532.5,1512.2
144,380.0,209.0,418.0,171.5,237.3,201.8,237.3,28.5,6,41.24,5.71,1485.6,1526.7,1506.1
145,380.0,209.0,418.0,171.5,253.9,201.8,220.8,28.5,6,41.1,5.59,1488.0,1526.4,1507.2
146,380.0,172.7,345.3,180.0,244.4,180.0,287.6,85.5,5,41.04,5.68,1519.6,1559.8,1539.7
147,380.0,172.7,345.3,192.6,300.7,167.4,231.3,85.5,5,40.87,5.59,1520.9,1557.9,1539.4
148,380.0,209.0,418.0,199.7,253.9,173.6,220.8,28.5,6,40.71,5.65,1491.6,1529.7,1510.6
149,380.0,209.0,418.0,199.7,218.1,173.6,256.6,28.5,6,40.69,5.8,1489.1,1529.6,1509.3
150,380.0,172.7,345.3,180.0,300.7,180.0,231.3,85.5,5,40.41,5.74,1520.7,1560.6,1540.6
151,380.0,209.0,418.0,200.0,218.1,200.0,256.6,28.5,6,40.26,5.99,1502.8,1542.7,1522.7
152,380.0,172.7,345.3,180.0,219.1,180.0,312.9,57.0,6,39.89,5.88,1472.3,1511.2,1491.7
153,380.0,209.0,418.0,199.7,237.3,173.6,237.3,28.5,6,39.83,5.69,1490.4,1528.2,1509.3
154,380.0,209.0,418.0,200.0,253.9,200.0,220.8,28.5,6,39.56,5.87,1503.8,1541.1,1522.4
155,380.0,172.7,345.3,192.6,219.1,167.4,312.9,85.5,5,39.04,5.59,1522.6,1555.7,1539.2
156,380.0,209.0,418.0,171.5,268.3,201.8,206.4,0.0,6,39.0,5.57,1469.5,1525.6,1497.6
157,380.0,209.0,418.0,200.0,237.3,200.0,237.3,28.5,6,38.99,5.92,1503.5,1540.4,1521.9
158,380.0,209.0,418.0,200.0,266.0,200.0,266.0,0.0,6,38.9,6.37,1523.1,1561.6,1542.4
159,380.0,209.0,418.0,199.7,195.5,173.6,279.2,0.0,6,38.83,5.56,1470.9,1527.2,1499.1
160,380.0,209.0,418.0,218.6,218.1,168.1,256.6,0.0,6,38.75,5.52,1471.2,1527.6,1499.4
161,380.0,172.7,345.3,165.4,219.1,194.6,312.9,85.5,5,38.44,5.72,1522.3,1558.5,1540.4
162,380.0,172.7,345.3,192.6,300.7,167.4,231.3,57.0,6,37.91,5.93,1477.8,1513.4,1495.6
163,380.0,172.7,345.3,180.0,219.1,180.0,312.9,85.5,5,37.77,5.65,1524.5,1557.3,1540.9
164,380.0,172.7,345.3,192.6,219.1,167.4,312.9,57.0,6,37.77,5.98,1479.5,1514.9,1497.2
165,380.0,209.0,418.0,199.7,268.3,173.6,206.4,0.0,6,37.71,5.56,1471.5,1528.2,1499.9
166,435.0,192.8,385.7,205.0,304.5,205.0,304.5,0.0,6,37.61,5.83,1661.2,1697.4,1679.3
167,380.0,172.7,345.3,180.0,300.7,180.0,231.3,57.0,6,37.57,5.91,1473.0,1508.4,1490.7
168,380.0,209.0,418.0,199.7,237.3,173.6,237.3,0.0,6,37.56,5.61,1467.7,1523.8,1495.8
169,380.0,209.0,418.0,171.5,237.3,201.8,237.3,0.0,6,37.52,5.59,1468.8,1525.1,1496.9
170,380.0,209.0,418.0,218.6,195.5,168.1,279.2,0.0,6,36.87,5.58,1472.2,1529.0,1500.6
171,380.0,209.0,418.0,171.5,195.5,201.8,279.2,0.0,6,36.82,5.65,1473.2,1533.5,1503.4
172,380.0,172.7,345.3,165.4,300.7,194.6,231.3,57.0,6,36.52,6.01,1475.7,1510.7,1493.2
173,380.0,172.7,345.3,192.6,300.7,167.4,231.3,0.0,6,36.29,5.61,1447.7,1502.3,1475.0
174,380.0,172.7,345.3,165.4,244.4,194.6,287.6,57.0,6,36.25,5.98,1477.0,1512.3,1494.7
175,380.0,209.0,418.0,171.5,253.9,201.8,220.8,0.0,6,36.08,5.59,1468.2,1524.6,1496.4
176,380.0,209.0,418.0,199.7,253.9,173.6,220.8,0.0,6,36.04,5.57,1469.0,1525.6,1497.3
177,397.0,213.6,427.2,187.8,199.7,220.7,285.0,0.0,6,35.78,5.68,1533.1,1595.9,1564.5
178,394.0,212.0,423.9,186.4,198.2,219.1,282.9,0.0,6,35.5,5.68,1521.5,1583.8,1552.6
179,380.0,172.7,345.3,180.0,244.4,180.0,287.6,57.0,6,35.22,6.03,1474.1,1508.9,1491.5
180,389.0,209.3,418.6,184.0,195.7,216.3,279.3,0.0,6,35.05,5.68,1502.2,1563.7,1532.9
181,380.0,209.0,418.0,218.6,237.3,168.1,237.3,0.0,6,34.83,5.58,1470.0,1527.0,1498.5
182,380.0,209.0,418.0,211.0,218.1,162.3,256.6,0.0,6,34.5,5.61,1466.8,1523.4,1495.1
183,380.0,172.7,345.3,180.0,284.6,180.0,247.4,57.0,6,34.47,6.13,1477.3,1511.7,1494.5
184,380.0,172.7,345.3,192.6,284.6,167.4,247.4,57.0,6,34.3,6.19,1482.2,1516.4,1499.3
185,380.0,209.0,418.0,218.6,268.3,168.1,206.4,0.0,6,34.3,5.63,1471.9,1532.4,1502.2
186,380.0,172.7,345.3,165.4,284.6,194.6,247.4,57.0,6,34.01,6.12,1482.8,1514.2,1498.5
187,380.0,172.7,345.3,165.4,266.0,194.6,266.0,57.0,6,33.88,6.15,1483.4,1514.7,1499.0
188,380.0,209.0,418.0,211.0,195.5,162.3,279.2,0.0,6,33.82,5.64,1467.8,1524.7,1496.3
189,380.0,172.7,345.3,192.6,244.4,167.4,287.6,57.0,6,33.69,6.09,1481.4,1512.9,1497.2
190,380.0,209.0,418.0,218.6,253.9,168.1,220.8,0.0,6,33.65,5.59,1471.9,1529.4,1500.6
191,380.0,172.7,345.3,180.0,266.0,180.0,266.0,57.0,6,33.56,6.14,1480.5,1511.8,1496.1
192,380.0,172.7,345.3,165.4,219.1,194.6,312.9,0.0,6,33.19,5.62,1450.6,1506.2,1478.4
193,380.0,209.0,418.0,211.0,268.3,162.3,206.4,0.0,6,33.06,5.67,1468.1,1528.5,1498.3
194,380.0,209.0,418.0,211.0,237.3,162.3,237.3,0.0,6,32.87,5.61,1465.9,1522.8,1494.4
195,435.0,146.4,292.8,255.0,304.5,255.0,304.5,0.0,6,32.83,5.64,1625.7,1691.2,1658.5
196,380.0,172.7,345.3,192.6,266.0,167.4,266.0,57.0,6,32.71,6.24,1485.3,1516.2,1500.7
197,380.0,209.0,418.0,165.4,218.1,194.6,256.6,0.0,6,32.53,5.67,1462.8,1519.5,1491.2
198,380.0,209.0,418.0,165.4,195.5,194.6,279.2,0.0,6,32.49,5.85,1463.6,1492.5,1478.1
199,380.0,209.0,418.0,192.6,218.1,167.4,256.6,0.0,6,32.19,5.78,1460.6,1489.7,1475.1
200,380.0,209.0,418.0,165.4,195.5,194.6,279.2,57.0,6,32.15,5.85,1504.6,1535.1,1519.8
201,380.0,209.0,418.0,211.0,253.9,162.3,220.8,0.0,6,32.13,5.63,1467.8,1525.3,1496.6
202,380.0,209.0,418.0,192.6,268.3,167.4,206.4,0.0,6,32.1,5.7,1463.1,1492.7,1477.9
203,380.0,209.0,418.0,211.0,268.3,162.3,206.4,57.0,6,32.02,5.84,1505.3,1535.9,1520.6
204,380.0,209.0,418.0,192.6,195.5,167.4,279.2,0.0,6,31.78,5.73,1462.2,1491.6,1476.9
205,435.0,146.4,292.8,230.0,304.5,230.0,304.5,0.0,6,31.59,5.77,1613.0,1640.4,1626.7
206,380.0,209.0,418.0,177.7,195.5,209.0,279.2,57.0,6,31.24,6.01,1514.2,1544.2,1529.2
207,380.0,209.0,418.0,165.4,268.3,194.6,206.4,0.0,6,31.2,5.75,1460.0,1489.2,1474.6
208,380.0,209.0,418.0,186.7,195.5,186.7,279.2,57.0,6,31.14,5.99,1508.0,1537.9,1522.9
209,380.0,209.0,418.0,192.6,237.3,167.4,237.3,0.0,6,31.06,5.75,1459.0,1488.2,1473.6
210,380.0,209.0,418.0,165.4,237.3,194.6,237.3,0.0,6,30.87,5.74,1459.1,1488.3,1473.7
211,380.0,209.0,418.0,192.6,253.9,167.4,220.8,0.0,6,30.83,5.73,1460.5,1489.9,1475.2
212,380.0,209.0,418.0,171.5,195.5,201.8,279.2,57.0,6,30.71,6.0,1509.8,1539.8,1524.8
213,380.0,209.0,418.0,180.0,195.5,180.0,279.2,57.0,6,30.6,5.9,1499.8,1529.9,1514.8
214,380.0,209.0,418.0,211.0,195.5,162.3,279.2,57.0,6,30.53,5.91,1502.1,1532.2,1517.1
215,380.0,209.0,418.0,183.8,195.5,216.2,279.2,57.0,6,30.34,6.15,1522.5,1552.1,1537.3
216,380.0,209.0,418.0,165.4,253.9,194.6,220.8,0.0,6,30.26,5.82,1458.6,1484.2,1471.4
217,380.0,136.3,272.7,200.0,266.0,200.0,266.0,0.0,6,29.83,5.69,1416.5,1469.6,1443.0
218,380.0,209.0,418.0,186.7,268.3,186.7,206.4,57.0,6,29.3,6.0,1509.0,1535.5,1522.3
219,380.0,209.0,418.0,192.6,268.3,167.4,206.4,57.0,6,29.09,5.93,1506.7,1533.4,1520.1
220,435.0,192.8,385.7,180.0,304.5,180.0,304.5,0.0,6,29.08,5.81,1627.7,1655.6,1641.7
221,380.0,209.0,418.0,192.6,195.5,167.4,279.2,57.0,6,29.07,5.92,1505.8,1532.5,1519.2
222,380.0,209.0,418.0,214.0,195.5,186.0,279.2,57.0,6,29.05,6.26,1519.4,1548.4,1533.9
223,380.0,209.0,418.0,211.0,253.9,162.3,220.8,57.0,6,28.98,5.86,1506.3,1533.3,1519.8
224,380.0,209.0,418.0,218.6,268.3,168.1,206.4,57.0,6,28.92,6.03,1518.2,1544.9,1531.6
225,380.0,172.7,345.3,200.0,237.3,200.0,237.3,0.0,6,28.88,5.81,1432.2,1456.9,1444.6
226,380.0,209.0,418.0,214.0,268.3,186.0,206.4,57.0,6,28.86,6.17,1522.6,1548.8,1535.7
227,435.0,192.8,385.7,255.0,263.0,255.0,263.0,0.0,6,28.79,5.82,1631.2,1655.5,1643.3
228,380.0,209.0,418.0,206.8,195.5,179.8,279.2,57.0,6,28.78,6.05,1513.9,1540.3,1527.1
229,380.0,209.0,418.0,180.0,268.3,180.0,206.4,57.0,6,28.7,5.89,1500.8,1527.5,1514.1
230,380.0,209.0,418.0,206.8,268.3,179.8,206.4,57.0,6,28.65,6.06,1514.4,1540.8,1527.6
231,380.0,136.3,272.7,193.3,237.3,193.3,237.3,0.0,3,28.52,5.67,1646.2,1671.4,1658.8
232,380.0,209.0,418.0,165.4,218.1,194.6,256.6,57.0,6,28.52,5.95,1505.0,1531.5,1518.2
233,380.0,209.0,418.0,211.0,218.1,162.3,256.6,57.0,6,28.51,5.93,1504.7,1531.4,1518.1
234,380.0,209.0,418.0,199.7,195.5,173.6,279.2,57.0,6,28.49,6.01,1509.8,1536.3,1523.1
235,380.0,209.0,418.0,199.7,268.3,173.6,206.4,57.0,6,28.27,6.02,1510.5,1536.9,1523.7
236,380.0,209.0,418.0,200.0,195.5,200.0,279.2,57.0,6,28.14,6.25,1524.0,1549.9,1536.9
237,380.0,209.0,418.0,165.4,268.3,194.6,206.4,57.0,6,28.11,5.94,1502.3,1528.8,1515.5
238,380.0,209.0,418.0,193.3,195.5,193.3,279.2,57.0,6,27.99,6.22,1521.7,1547.6,1534.6
239,380.0,209.0,418.0,186.7,218.1,186.7,256.6,57.0,6,27.92,6.1,1509.4,1535.4,1522.4
240,380.0,209.0,418.0,211.0,237.3,162.3,237.3,57.0,6,27.87,5.93,1504.4,1531.1,1517.8
241,380.0,209.0,418.0,218.6,195.5,168.1,279.2,57.0,6,27.8,6.1,1516.1,1542.4,1529.2
242,380.0,209.0,418.0,180.0,218.1,180.0,256.6,57.0,6,27.51,5.98,1501.0,1527.4,1514.2
243,435.0,239.3,478.5,180.0,263.0,180.0,263.0,0.0,6,27.44,5.82,1642.0,1663.0,1652.5
244,380.0,209.0,418.0,177.7,218.1,209.0,256.6,57.0,6,27.4,6.15,1514.9,1540.9,1527.9
245,435.0,192.8,385.7,230.0,263.0,230.0,263.0,0.0,6,27.37,5.85,1615.7,1643.0,1629.4
246,380.0,209.0,418.0,177.7,268.3,209.0,206.4,57.0,6,27.14,6.14,1512.6,1538.6,1525.6
247,380.0,209.0,418.0,171.5,218.1,201.8,256.6,57.0,6,26.92,6.12,1510.5,1536.5,1523.5
