rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
217,380.0,0.55,0.4352773826458036,0.5739212897107633,0.5120910384068278,0.6752015173067804,0.15,209.00000000000003,165.4054054054054,218.09009009009006,194.59459459459455,256.57657657657654,57.0,6,28.517529352111524,5.953861428813888,5.765384327370498,1518.2372184418855,True,f8cfc086
218,380.0,0.55,0.555301296720061,0.5739212897107633,0.4271548436308162,0.6752015173067804,0.15,209.00000000000003,211.0144927536232,218.09009009009006,162.31884057971016,256.57657657657654,57.0,6,28.510888333511502,5.929464247677661,5.736790391803785,1518.0556029132513,True,8edea01c
219,380.0,0.55,0.525499796001632,0.514344685242518,0.4569563443492452,0.7347781217750258,0.15,209.00000000000003,199.68992248062017,195.45098039215682,173.64341085271317,279.2156862745098,57.0,6,28.485031721853602,6.008981469708893,5.830314362339072,1523.0666361450476,True,ce343c39
220,380.0,0.55,0.525499796001632,0.7060259344012205,0.4569563443492452,0.5430968726163234,0.15,209.00000000000003,199.68992248062017,268.2898550724638,173.64341085271317,206.3768115942029,57.0,6,28.266577284521418,6.023541572926354,5.851198082280419,1523.657628511145,True,7a8563b3
221,380.0,0.55,0.5263157894736842,0.514344685242518,0.5263157894736842,0.7347781217750258,0.15,209.00000000000003,200.0,195.45098039215682,200.0,279.2156862745098,57.0,6,28.13638001115578,6.248501349556032,6.241932755020989,1536.9475073139115,True,1473476d
222,380.0,0.55,0.4352773826458036,0.7060259344012205,0.5120910384068278,0.5430968726163234,0.15,209.00000000000003,165.4054054054054,268.2898550724638,194.59459459459455,206.3768115942029,57.0,6,28.1079332284894,5.9367637288845465,5.749794667215155,1515.5481525827884,True,5012dc62
223,380.0,0.55,0.5087719298245614,0.514344685242518,0.5087719298245614,0.7347781217750258,0.15,209.00000000000003,193.33333333333334,195.45098039215682,193.33333333333334,279.2156862745098,57.0,6,27.990507255932698,6.224142386251895,6.18541782830817,1534.6067232697033,True,9626da61
224,380.0,0.55,0.49122807017543857,0.5739212897107633,0.49122807017543857,0.6752015173067804,0.15,209.00000000000003,186.66666666666666,218.09009009009006,186.66666666666666,256.57657657657654,57.0,6,27.915182580852616,6.096733499460157,5.988560590440032,1522.3904330338937,True,d3b4f9fd
225,380.0,0.55,0.555301296720061,0.6245614035087719,0.4271548436308162,0.6245614035087719,0.15,209.00000000000003,211.0144927536232,237.33333333333331,162.31884057971016,237.33333333333331,57.0,6,27.871198188136077,5.934624609250613,5.736073791618974,1517.7683250233285,True,100ea7e4
226,380.0,0.55,0.5751334858886348,0.514344685242518,0.44241037376048825,0.7347781217750258,0.15,209.00000000000003,218.5507246376812,195.45098039215682,168.11594202898553,279.2156862745098,57.0,6,27.80115963771027,6.1014114473658685,5.991045363074993,1529.2387829854529,True,524c517b
227,380.0,0.55,0.47368421052631576,0.5739212897107633,0.47368421052631576,0.6752015173067804,0.15,209.00000000000003,180.0,218.09009009009006,180.0,256.57657657657654,57.0,6,27.512268695510556,5.97675185190089,5.788216346934656,1514.1963506517627,True,032fe3cf
228,380.0,0.55,0.467520151730678,0.5739212897107633,0.5500237079184448,0.6752015173067804,0.15,209.00000000000003,177.65765765765764,218.09009009009006,209.00900900900902,256.57657657657654,57.0,6,27.39772294672207,6.154268705739017,6.056164122524931,1527.929724104527,True,40ee3e20
229,380.0,0.55,0.467520151730678,0.7060259344012205,0.5500237079184448,0.5430968726163234,0.15,209.00000000000003,177.65765765765764,268.2898550724638,209.00900900900902,206.3768115942029,57.0,6,27.137259006508657,6.136756212264516,6.007421062683075,1525.5936691950228,True,051ebaae
230,380.0,0.55,0.4513987671882408,0.5739212897107633,0.5310573731626362,0.6752015173067804,0.15,209.00000000000003,171.5315315315315,218.09009009009006,201.80180180180176,256.57657657657654,57.0,6,26.92276742769991,6.12416530127281,5.954640744514991,1523.5123392847008,True,6eadf5d9
231,380.0,0.55,0.49122807017543857,0.6681354549163606,0.49122807017543857,0.5809873521011831,0.15,209.00000000000003,186.66666666666666,253.89147286821702,186.66666666666666,220.77519379844958,57.0,6,26.80890274157764,6.096427349687027,5.893069296905293,1520.999805499755,True,7b41e7fe
232,380.0,0.55,0.4513987671882408,0.7060259344012205,0.5310573731626362,0.5430968726163234,0.15,209.00000000000003,171.5315315315315,268.2898550724638,201.80180180180176,206.3768115942029,57.0,6,26.794230778992187,6.098174577003729,5.895961032042375,1521.324209759077,True,1953e58b
233,380.0,0.55,0.5067319461444307,0.5739212897107633,0.44063647490820074,0.6752015173067804,0.15,209.00000000000003,192.55813953488368,218.09009009009006,167.4418604651163,256.57657657657654,57.0,6,26.458268528298277,6.094505761530587,5.893328141570164,1518.0431819506573,True,eecaadc4
234,380.0,0.55,0.47368421052631576,0.6681354549163606,0.47368421052631576,0.5809873521011831,0.15,209.00000000000003,180.0,253.89147286821702,180.0,220.77519379844958,57.0,6,26.421890737248987,5.997106882530449,5.7989740243846155,1512.8213912146286,True,b38e3876
235,380.0,0.55,0.49122807017543857,0.6245614035087719,0.49122807017543857,0.6245614035087719,0.15,209.00000000000003,186.66666666666666,237.33333333333331,186.66666666666666,237.33333333333331,57.0,6,26.35948563768784,6.143531462620668,5.940308532855924,1520.4419724668032,True,7f2106c7
236,380.0,0.55,0.4836415362731151,0.5739212897107633,0.5689900426742531,0.6752015173067804,0.15,209.00000000000003,183.78378378378375,218.09009009009006,216.2162162162162,256.57657657657654,57.0,6,26.339214211779108,6.321006186293619,6.2774464902220535,1536.1117391689427,True,85cac9fe
237,380.0,0.55,0.4352773826458036,0.6245614035087719,0.5120910384068278,0.6245614035087719,0.15,209.00000000000003,165.4054054054054,237.33333333333331,194.59459459459455,237.33333333333331,57.0,6,26.328202791416288,6.043411020739978,5.841336919434856,1515.2663022513204,True,36823187
238,380.0,0.55,0.5067319461444307,0.6681354549163606,0.44063647490820074,0.5809873521011831,0.15,209.00000000000003,192.55813953488368,253.89147286821702,167.4418604651163,220.77519379844958,57.0,6,26.321498850445096,6.061961901348166,5.857574801655097,1518.3226605588711,True,271086db
239,380.0,0.55,0.4352773826458036,0.6681354549163606,0.5120910384068278,0.5809873521011831,0.15,209.00000000000003,165.4054054054054,253.89147286821702,194.59459459459455,220.77519379844958,57.0,6,26.270320019381415,6.02790743347664,5.824768283966464,1514.9061281124011,True,54ec706d
240,380.0,0.55,0.5630354957160342,0.6681354549163606,0.48959608323133413,0.5809873521011831,0.15,209.00000000000003,213.95348837209298,253.89147286821702,186.04651162790697,220.77519379844958,57.0,6,26.072826334815318,6.291230102267349,6.185281541501491,1534.0920172405004,True,762e571d
